attack_family,attack_subtype,branch,files,total_size_bytes,total_size_readable
DDoS,DDoS-ICMP-Flood16,Flow-Based,1,5508374,5.25 MB
DDoS,DDoS-ICMP-Flood17,Flow-Based,1,2494555,2.38 MB
DDoS,DDoS-ICMP-Flood18,Flow-Based,1,2127995,2.03 MB
DDoS,DDoS-ICMP-Flood19,Flow-Based,1,4296522,4.10 MB
DDoS,DDoS-ICMP-Flood2,Flow-Based,1,5686932,5.42 MB
DDoS,DDoS-ICMP-Flood20,Flow-Based,1,3916845,3.74 MB
DDoS,DDoS-ICMP-Flood21,Flow-Based,1,3824166,3.65 MB
DDoS,DDoS-ICMP-Flood22,Flow-Based,1,3214156,3.07 MB
DDoS,DDoS-ICMP-Flood23,Flow-Based,1,2737848,2.61 MB
DDoS,DDoS-ICMP-Flood24,Flow-Based,1,3232079,3.08 MB
DDoS,DDoS-ICMP-Flood25,Flow-Based,1,5018468,4.79 MB
DDoS,DDoS-ICMP-Flood26,Flow-Based,1,2839348,2.71 MB
DDoS,DDoS-ICMP-Flood3,Flow-Based,1,4164002,3.97 MB
DDoS,DDoS-ICMP-Flood4,Flow-Based,1,8230807,7.85 MB
DDoS,DDoS-ICMP-Flood5,Flow-Based,1,4082342,3.89 MB
DDoS,DDoS-ICMP-Flood6,Flow-Based,1,2486524,2.37 MB
DDoS,DDoS-ICMP-Flood7,Flow-Based,1,1715790,1.64 MB
DDoS,DDoS-ICMP-Flood8,Flow-Based,1,3379735,3.22 MB
DDoS,DDoS-ICMP-Flood9,Flow-Based,1,3680715,3.51 MB
DDoS,DDoS-ICMP-Fragmentation,Flow-Based,1,7458001,7.11 MB
DDoS,DDoS-ICMP-Fragmentation,Packet-Based,1,412752287,393.63 MB
DDoS,DDoS-ICMP-Fragmentation1,Flow-Based,1,9176052,8.75 MB
DDoS,DDoS-ICMP-Fragmentation1,Packet-Based,1,394507353,376.23 MB
DDoS,DDoS-ICMP-Fragmentation10,Flow-Based,1,7668811,7.31 MB
DDoS,DDoS-ICMP-Fragmentation10,Packet-Based,1,432066799,412.05 MB
DDoS,DDoS-ICMP-Fragmentation11,Flow-Based,1,6118491,5.84 MB
DDoS,DDoS-ICMP-Fragmentation11,Packet-Based,1,428949173,409.08 MB
DDoS,DDoS-ICMP-Fragmentation12,Flow-Based,1,9414482,8.98 MB
DDoS,DDoS-ICMP-Fragmentation12,Packet-Based,1,422845505,403.26 MB
DDoS,DDoS-ICMP-Fragmentation13,Flow-Based,1,6844913,6.53 MB
DDoS,DDoS-ICMP-Fragmentation13,Packet-Based,1,437871207,417.59 MB
DDoS,DDoS-ICMP-Fragmentation14,Flow-Based,1,7082376,6.75 MB
DDoS,DDoS-ICMP-Fragmentation14,Packet-Based,1,432235231,412.21 MB
DDoS,DDoS-ICMP-Fragmentation15,Flow-Based,1,5095896,4.86 MB
DDoS,DDoS-ICMP-Fragmentation15,Packet-Based,1,437076141,416.83 MB
DDoS,DDoS-ICMP-Fragmentation16,Flow-Based,1,8668131,8.27 MB
DDoS,DDoS-ICMP-Fragmentation16,Packet-Based,1,438468366,418.16 MB
DDoS,DDoS-ICMP-Fragmentation17,Flow-Based,1,21945057,20.93 MB
DDoS,DDoS-ICMP-Fragmentation17,Packet-Based,1,425228199,405.53 MB
DDoS,DDoS-ICMP-Fragmentation18,Flow-Based,1,4917817,4.69 MB
DDoS,DDoS-ICMP-Fragmentation18,Packet-Based,1,407445455,388.57 MB
DDoS,DDoS-ICMP-Fragmentation19,Flow-Based,1,5790708,5.52 MB
DDoS,DDoS-ICMP-Fragmentation19,Packet-Based,1,434697640,414.56 MB
DDoS,DDoS-ICMP-Fragmentation2,Flow-Based,1,7131349,6.80 MB
DDoS,DDoS-ICMP-Fragmentation2,Packet-Based,1,421159738,401.65 MB
DDoS,DDoS-ICMP-Fragmentation20,Packet-Based,1,429550257,409.65 MB
DDoS,DDoS-ICMP-Fragmentation3,Flow-Based,1,12417260,11.84 MB
DDoS,DDoS-ICMP-Fragmentation3,Packet-Based,1,424444102,404.78 MB
DDoS,DDoS-ICMP-Fragmentation4,Flow-Based,1,13542159,12.91 MB
DDoS,DDoS-ICMP-Fragmentation4,Packet-Based,1,406489578,387.66 MB
DDoS,DDoS-ICMP-Fragmentation5,Flow-Based,1,5671514,5.41 MB
DDoS,DDoS-ICMP-Fragmentation5,Packet-Based,1,427734683,407.92 MB
DDoS,DDoS-ICMP-Fragmentation6,Flow-Based,1,5323287,5.08 MB
DDoS,DDoS-ICMP-Fragmentation6,Packet-Based,1,429550257,409.65 MB
DDoS,DDoS-ICMP-Fragmentation7,Flow-Based,1,7508169,7.16 MB
DDoS,DDoS-ICMP-Fragmentation7,Packet-Based,1,432658303,412.62 MB
DDoS,DDoS-ICMP-Fragmentation8,Flow-Based,1,6535461,6.23 MB
DDoS,DDoS-ICMP-Fragmentation8,Packet-Based,1,425201587,405.50 MB
DDoS,DDoS-ICMP-Fragmentation9,Flow-Based,1,10913680,10.41 MB
DDoS,DDoS-ICMP-Fragmentation9,Packet-Based,1,425025018,405.34 MB
DDoS,DDoS-SlowLoris,Packet-Based,1,383768930,365.99 MB
DDoS,DDoS-SynonymousIP-Flood,Packet-Based,1,178271597,170.01 MB
DDoS,DDoS-SynonymousIP-Flood-1,Packet-Based,1,128736767,122.77 MB
DDoS,DDoS-SynonymousIP-Flood10,Packet-Based,1,143913834,137.25 MB
DDoS,DDoS-SynonymousIP-Flood11,Packet-Based,1,152467881,145.40 MB
DDoS,DDoS-SynonymousIP-Flood12,Packet-Based,1,160611047,153.17 MB
DDoS,DDoS-SynonymousIP-Flood13,Packet-Based,1,154845794,147.67 MB
DDoS,DDoS-SynonymousIP-Flood2,Packet-Based,1,144721116,138.02 MB
DDoS,DDoS-SynonymousIP-Flood3,Packet-Based,1,168036879,160.25 MB
DDoS,DDoS-SynonymousIP-Flood4,Packet-Based,1,150576053,143.60 MB
DDoS,DDoS-SynonymousIP-Flood5,Packet-Based,1,149527519,142.60 MB
DDoS,DDoS-SynonymousIP-Flood6,Packet-Based,1,139306235,132.85 MB
DDoS,DDoS-SynonymousIP-Flood7,Packet-Based,1,149537051,142.61 MB
DDoS,DDoS-SynonymousIP-Flood8,Packet-Based,1,157919695,150.60 MB
DDoS,DDoS-SynonymousIP-Flood9,Packet-Based,1,162673015,155.14 MB
DDoS,DDoS-TCP-Flood,Packet-Based,1,55884538,53.30 MB
DDoS,DDoS-TCP-Flood1,Packet-Based,1,54746171,52.21 MB
DDoS,DDoS-TCP-Flood10,Packet-Based,1,63827780,60.87 MB
DDoS,DDoS-TCP-Flood11,Packet-Based,1,55655541,53.08 MB
DDoS,DDoS-TCP-Flood12,Packet-Based,1,55948568,53.36 MB
DDoS,DDoS-TCP-Flood13,Packet-Based,1,60642400,57.83 MB
DDoS,DDoS-TCP-Flood14,Packet-Based,1,54509168,51.98 MB
DDoS,DDoS-TCP-Flood15,Packet-Based,1,56368919,53.76 MB
DDoS,DDoS-TCP-Flood16,Packet-Based,1,56401377,53.79 MB
DDoS,DDoS-TCP-Flood17,Packet-Based,1,61220347,58.38 MB
DDoS,DDoS-TCP-Flood2,Packet-Based,1,55891435,53.30 MB
DDoS,DDoS-TCP-Flood3,Packet-Based,1,59952904,57.18 MB
DDoS,DDoS-TCP-Flood4,Packet-Based,1,56671861,54.05 MB
DDoS,DDoS-TCP-Flood5,Packet-Based,1,67210240,64.10 MB
DDoS,DDoS-TCP-Flood6,Packet-Based,1,56530431,53.91 MB
DDoS,DDoS-TCP-Flood7,Packet-Based,1,54989380,52.44 MB
DDoS,DDoS-TCP-Flood8,Packet-Based,1,55578433,53.00 MB
DDoS,DDoS-TCP-Flood9,Packet-Based,1,59554880,56.80 MB
DDoS,DDoS-UDP-Flood,Packet-Based,1,92018846,87.76 MB
DDoS,DDoS-UDP-Flood1,Packet-Based,1,90831509,86.62 MB
DDoS,DDoS-UDP-Flood10,Packet-Based,1,269443994,256.96 MB
DDoS,DDoS-UDP-Flood11,Packet-Based,1,292639908,279.08 MB
DDoS,DDoS-UDP-Flood12,Packet-Based,1,306413263,292.22 MB
DDoS,DDoS-UDP-Flood13,Packet-Based,1,292862973,279.30 MB
DDoS,DDoS-UDP-Flood14,Packet-Based,1,312922575,298.43 MB
DDoS,DDoS-UDP-Flood15,Packet-Based,1,283843876,270.69 MB
DDoS,DDoS-UDP-Flood16,Packet-Based,1,47038806,44.86 MB
DDoS,DDoS-UDP-Flood17,Packet-Based,1,84425004,80.51 MB
DDoS,DDoS-UDP-Flood18,Packet-Based,1,85217938,81.27 MB
DDoS,DDoS-UDP-Flood19,Packet-Based,1,91973012,87.71 MB
DDoS,DDoS-UDP-Flood2,Packet-Based,1,91102128,86.88 MB
DDoS,DDoS-UDP-Flood20,Packet-Based,1,153526416,146.41 MB
DDoS,DDoS-UDP-Flood3,Packet-Based,1,302175057,288.18 MB
DDoS,DDoS-UDP-Flood4,Packet-Based,1,291039497,277.56 MB
DDoS,DDoS-UDP-Flood5,Packet-Based,1,290102104,276.66 MB
DDoS,DDoS-UDP-Flood6,Packet-Based,1,309343829,295.01 MB
DDoS,DDoS-UDP-Flood7,Packet-Based,1,241501854,230.31 MB
DDoS,DDoS-UDP-Flood8,Packet-Based,1,268615836,256.17 MB
DDoS,DDoS-UDP-Flood9,Packet-Based,1,263070765,250.88 MB
DDoS,DDoS-UDP-Fragmentation,Packet-Based,1,403788636,385.08 MB
DDoS,DDoS-UDP-Fragmentation1,Packet-Based,1,429606338,409.70 MB
DDoS,DDoS-UDP-Fragmentation10,Packet-Based,1,417727715,398.38 MB
DDoS,DDoS-UDP-Fragmentation11,Packet-Based,1,411052258,392.01 MB
DDoS,DDoS-UDP-Fragmentation12,Packet-Based,1,401868630,383.25 MB
DDoS,DDoS-UDP-Fragmentation2,Packet-Based,1,416698922,397.40 MB
DDoS,DDoS-UDP-Fragmentation3,Packet-Based,1,412852189,393.73 MB
DDoS,DDoS-UDP-Fragmentation4,Packet-Based,1,404967111,386.21 MB
DDoS,DDoS-UDP-Fragmentation5,Packet-Based,1,406887579,388.04 MB
DDoS,DDoS-UDP-Fragmentation6,Packet-Based,1,406109412,387.30 MB
DDoS,DDoS-UDP-Fragmentation7,Packet-Based,1,401615532,383.01 MB
DDoS,DDoS-UDP-Fragmentation8,Packet-Based,1,408302632,389.39 MB
DDoS,DDoS-UDP-Fragmentation9,Packet-Based,1,417527097,398.18 MB
DoS,DoS-HTTP-Flood,Flow-Based,1,406182568,387.37 MB
DoS,DoS-HTTP-Flood,Packet-Based,1,225356569,214.92 MB
DoS,DoS-HTTP-Flood1,Flow-Based,1,313851273,299.31 MB
DoS,DoS-HTTP-Flood1,Packet-Based,1,221655328,211.39 MB
DoS,DoS-SYN-Flood,Flow-Based,1,2065766424,1.92 GB
DoS,DoS-SYN-Flood,Packet-Based,1,72998781,69.62 MB
DoS,DoS-SYN-Flood1,Flow-Based,1,748064740,713.41 MB
DoS,DoS-SYN-Flood1,Packet-Based,1,56128770,53.53 MB
DoS,DoS-SYN-Flood2,Flow-Based,1,1128921696,1.05 GB
DoS,DoS-SYN-Flood2,Packet-Based,1,60171281,57.38 MB
DoS,DoS-SYN-Flood3,Flow-Based,1,1019553127,972.32 MB
DoS,DoS-SYN-Flood3,Packet-Based,1,58504214,55.79 MB
DoS,DoS-SYN-Flood4,Flow-Based,1,1167577806,1.09 GB
DoS,DoS-SYN-Flood4,Packet-Based,1,57781116,55.10 MB
DoS,DoS-SYN-Flood5,Flow-Based,1,970435055,925.48 MB
DoS,DoS-SYN-Flood5,Packet-Based,1,61036333,58.21 MB
DoS,DoS-SYN-Flood6,Flow-Based,1,828250772,789.88 MB
DoS,DoS-SYN-Flood6,Packet-Based,1,69080940,65.88 MB
DoS,DoS-SYN-Flood7,Flow-Based,1,737774415,703.60 MB
DoS,DoS-SYN-Flood7,Packet-Based,1,59912871,57.14 MB
DoS,DoS-TCP-Flood,Flow-Based,1,460,460.00 B
DoS,DoS-TCP-Flood,Packet-Based,1,68002770,64.85 MB
DoS,DoS-TCP-Flood1,Flow-Based,1,558,558.00 B
DoS,DoS-TCP-Flood1,Packet-Based,1,32102591,30.62 MB
DoS,DoS-TCP-Flood10,Flow-Based,1,398,398.00 B
DoS,DoS-TCP-Flood10,Packet-Based,1,63554516,60.61 MB
DoS,DoS-TCP-Flood2,Flow-Based,1,423,423.00 B
DoS,DoS-TCP-Flood2,Packet-Based,1,74203934,70.77 MB
DoS,DoS-TCP-Flood3,Flow-Based,1,520,520.00 B
DoS,DoS-TCP-Flood3,Packet-Based,1,64586215,61.59 MB
DoS,DoS-TCP-Flood4,Packet-Based,1,62415762,59.52 MB
DoS,DoS-TCP-Flood5,Packet-Based,1,63790959,60.84 MB
DoS,DoS-TCP-Flood6,Packet-Based,1,65796735,62.75 MB
DoS,DoS-TCP-Flood7,Packet-Based,1,59936253,57.16 MB
DoS,DoS-TCP-Flood8,Packet-Based,1,60687061,57.88 MB
DoS,DoS-TCP-Flood9,Packet-Based,1,59504393,56.75 MB
DoS,DoS-UDP-Flood,Flow-Based,1,523374726,499.13 MB
DoS,DoS-UDP-Flood,Packet-Based,1,94152604,89.79 MB
DoS,DoS-UDP-Flood1,Packet-Based,1,76147999,72.62 MB
DoS,DoS-UDP-Flood10,Flow-Based,1,30445003,29.03 MB
DoS,DoS-UDP-Flood10,Packet-Based,1,98489938,93.93 MB
DoS,DoS-UDP-Flood11,Flow-Based,1,28155820,26.85 MB
DoS,DoS-UDP-Flood11,Packet-Based,1,100400592,95.75 MB
DoS,DoS-UDP-Flood12,Flow-Based,1,24779241,23.63 MB
DoS,DoS-UDP-Flood12,Packet-Based,1,100263151,95.62 MB
DoS,DoS-UDP-Flood13,Flow-Based,1,29050006,27.70 MB
DoS,DoS-UDP-Flood13,Packet-Based,1,112964035,107.73 MB
DoS,DoS-UDP-Flood14,Flow-Based,1,31889244,30.41 MB
DoS,DoS-UDP-Flood14,Packet-Based,1,116231354,110.85 MB
DoS,DoS-UDP-Flood15,Flow-Based,1,32283925,30.79 MB
DoS,DoS-UDP-Flood15,Packet-Based,1,115161243,109.83 MB
DoS,DoS-UDP-Flood16,Flow-Based,1,17487210,16.68 MB
DoS,DoS-UDP-Flood16,Packet-Based,1,111788205,106.61 MB
DoS,DoS-UDP-Flood2,Packet-Based,1,102654300,97.90 MB
DoS,DoS-UDP-Flood3,Flow-Based,1,325945685,310.85 MB
DoS,DoS-UDP-Flood3,Packet-Based,1,97611333,93.09 MB
DoS,DoS-UDP-Flood4,Flow-Based,1,541307165,516.23 MB
DoS,DoS-UDP-Flood4,Packet-Based,1,103404231,98.61 MB
DoS,DoS-UDP-Flood5,Flow-Based,1,471962732,450.10 MB
DoS,DoS-UDP-Flood5,Packet-Based,1,87149473,83.11 MB
DoS,DoS-UDP-Flood6,Flow-Based,1,469406802,447.66 MB
DoS,DoS-UDP-Flood6,Packet-Based,1,94835607,90.44 MB
DoS,DoS-UDP-Flood7,Flow-Based,1,294023775,280.40 MB
DoS,DoS-UDP-Flood7,Packet-Based,1,97684634,93.16 MB
DoS,DoS-UDP-Flood8,Flow-Based,1,36249719,34.57 MB
DoS,DoS-UDP-Flood8,Packet-Based,1,99013386,94.43 MB
DoS,DoS-UDP-Flood9,Flow-Based,1,34372458,32.78 MB
DoS,DoS-UDP-Flood9,Packet-Based,1,104128237,99.30 MB
Mirai,Mirai-greeth-flood,Flow-Based,1,2697574,2.57 MB
Mirai,Mirai-greeth-flood1,Flow-Based,1,5418260,5.17 MB
Mirai,Mirai-greeth-flood10,Flow-Based,1,4290872,4.09 MB
Mirai,Mirai-greeth-flood11,Flow-Based,1,4417973,4.21 MB
Mirai,Mirai-greeth-flood12,Flow-Based,1,3450066,3.29 MB
Mirai,Mirai-greeth-flood13,Flow-Based,1,5484242,5.23 MB
Mirai,Mirai-greeth-flood14,Flow-Based,1,1586847,1.51 MB
Mirai,Mirai-greeth-flood15,Flow-Based,1,1774402,1.69 MB
Mirai,Mirai-greeth-flood16,Flow-Based,1,2348608,2.24 MB
Mirai,Mirai-greeth-flood17,Flow-Based,1,1527807,1.46 MB
Mirai,Mirai-greeth-flood18,Flow-Based,1,1753300,1.67 MB
Mirai,Mirai-greeth-flood19,Flow-Based,1,1844515,1.76 MB
Mirai,Mirai-greeth-flood2,Flow-Based,1,2093488,2.00 MB
Mirai,Mirai-greeth-flood20,Flow-Based,1,2209649,2.11 MB
Mirai,Mirai-greeth-flood21,Flow-Based,1,2440139,2.33 MB
Mirai,Mirai-greeth-flood22,Flow-Based,1,3541638,3.38 MB
Mirai,Mirai-greeth-flood23,Flow-Based,1,2479370,2.36 MB
Mirai,Mirai-greeth-flood24,Flow-Based,1,1398318,1.33 MB
Mirai,Mirai-greeth-flood25,Flow-Based,1,1343728,1.28 MB
Mirai,Mirai-greeth-flood26,Flow-Based,1,3018763,2.88 MB
Mirai,Mirai-greeth-flood27,Flow-Based,1,3961228,3.78 MB
Mirai,Mirai-greeth-flood28,Flow-Based,1,4474428,4.27 MB
Mirai,Mirai-greeth-flood3,Flow-Based,1,2342106,2.23 MB
Mirai,Mirai-greeth-flood4,Flow-Based,1,4469679,4.26 MB
Mirai,Mirai-greeth-flood5,Flow-Based,1,1995038,1.90 MB
Mirai,Mirai-greeth-flood6,Flow-Based,1,5781554,5.51 MB
Mirai,Mirai-greeth-flood7,Flow-Based,1,3877861,3.70 MB
Mirai,Mirai-greeth-flood8,Flow-Based,1,2758829,2.63 MB
Mirai,Mirai-greeth-flood9,Flow-Based,1,6169586,5.88 MB
Mirai,Mirai-greip-flood,Packet-Based,1,169186590,161.35 MB
Mirai,Mirai-greip-flood1,Packet-Based,1,204985625,195.49 MB
Mirai,Mirai-greip-flood10,Packet-Based,1,218517460,208.39 MB
Mirai,Mirai-greip-flood11,Packet-Based,1,209153893,199.46 MB
Mirai,Mirai-greip-flood12,Packet-Based,1,216433731,206.41 MB
Mirai,Mirai-greip-flood13,Packet-Based,1,212905056,203.04 MB
Mirai,Mirai-greip-flood14,Packet-Based,1,228221560,217.65 MB
Mirai,Mirai-greip-flood15,Packet-Based,1,235863910,224.94 MB
Mirai,Mirai-greip-flood16,Packet-Based,1,225066982,214.64 MB
Mirai,Mirai-greip-flood17,Packet-Based,1,211992776,202.17 MB
Mirai,Mirai-greip-flood18,Packet-Based,1,228578089,217.99 MB
Mirai,Mirai-greip-flood19,Packet-Based,1,228129981,217.56 MB
Mirai,Mirai-greip-flood2,Packet-Based,1,240349681,229.22 MB
Mirai,Mirai-greip-flood20,Packet-Based,1,241184213,230.01 MB
Mirai,Mirai-greip-flood21,Packet-Based,1,225256130,214.82 MB
Mirai,Mirai-greip-flood3,Packet-Based,1,259921747,247.88 MB
Mirai,Mirai-greip-flood4,Packet-Based,1,208695466,199.03 MB
Mirai,Mirai-greip-flood5,Packet-Based,1,243436312,232.16 MB
Mirai,Mirai-greip-flood6,Packet-Based,1,224613673,214.21 MB
Mirai,Mirai-greip-flood7,Packet-Based,1,234295517,223.44 MB
Mirai,Mirai-greip-flood8,Packet-Based,1,234445076,223.58 MB
Mirai,Mirai-greip-flood9,Packet-Based,1,205895321,196.36 MB
Recon,Recon-HostDiscovery,Packet-Based,1,260397556,248.33 MB
Recon,Recon-OSScan,Packet-Based,1,354637252,338.21 MB
Recon,Recon-PingSweep,Packet-Based,1,28071705,26.77 MB
Recon,Recon-PortScan,Packet-Based,1,298658542,284.82 MB
Recon,VulnerabilityScan,Flow-Based,1,227366191,216.83 MB
Recon,VulnerabilityScan,Packet-Based,1,279266769,266.33 MB
Spoofing,DNS-Spoofing,Flow-Based,1,40603302,38.72 MB
Spoofing,DNS-Spoofing,Packet-Based,1,382822809,365.09 MB
Spoofing,MITM-ArpSpoofing,Flow-Based,1,38412116,36.63 MB
Spoofing,MITM-ArpSpoofing,Packet-Based,1,452902078,431.92 MB
Spoofing,MITM-ArpSpoofing1,Flow-Based,1,4908382,4.68 MB
Spoofing,MITM-ArpSpoofing1,Packet-Based,1,436388252,416.17 MB
Unknown,BrowserHijacking,Packet-Based,1,77275857,73.70 MB
Web-Based,Backdoor-Malware,Packet-Based,1,39251555,37.43 MB
Web-Based,CommandInjection,Packet-Based,1,68869413,65.68 MB
Web-Based,SqlInjection,Flow-Based,1,3500463,3.34 MB
Web-Based,SqlInjection,Packet-Based,1,62947641,60.03 MB
Web-Based,Uploading-Attack,Flow-Based,1,710764,694.11 KB
Web-Based,Uploading-Attack,Packet-Based,1,14772835,14.09 MB
Web-Based,XSS,Flow-Based,1,1844898,1.76 MB
Web-Based,XSS,Packet-Based,1,46832664,44.66 MB
