feature,file_name,branch,attack_family,attack_subtype,dtype,missing_count_sample,missing_ratio_sample,unique_values_sample
Flow IAT Max,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,18845
Flow IAT Min,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,12196
Fwd IAT Total,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,17338
Fwd IAT Mean,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,17384
Fwd IAT Std,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,25235
Fwd IAT Max,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,15193
Fwd IAT Min,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,10179
Bwd IAT Total,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,11720
Bwd IAT Mean,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,11732
Bwd IAT Std,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,14728
Bwd IAT Max,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,10826
Bwd IAT Min,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,5697
Fwd PSH Flags,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,2
Bwd PSH Flags,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,1
Fwd URG Flags,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,1
Bwd URG Flags,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,1
Fwd Header Length,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,461
Bwd Header Length,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,459
Fwd Packets/s,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,28763
Bwd Packets/s,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,24888
Packet Length Min,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,74
Packet Length Max,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,417
Packet Length Mean,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,2653
Packet Length Std,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,2628
Packet Length Variance,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,2749
FIN Flag Count,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,4
SYN Flag Count,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,9
RST Flag Count,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,3
PSH Flag Count,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,168
ACK Flag Count,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,287
URG Flag Count,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,1
CWR Flag Count,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,1
ECE Flag Count,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,1
Down/Up Ratio,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,12
Average Packet Size,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,2398
Fwd Segment Size Avg,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,1757
Bwd Segment Size Avg,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,1469
Fwd Bytes/Bulk Avg,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,1
Fwd Packet/Bulk Avg,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,1
Fwd Bulk Rate Avg,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,1
Bwd Bytes/Bulk Avg,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,1247
Bwd Packet/Bulk Avg,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,161
Bwd Bulk Rate Avg,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,2831
Subflow Fwd Packets,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,81
Subflow Fwd Bytes,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,758
Subflow Bwd Packets,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,76
Subflow Bwd Bytes,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,595
FWD Init Win Bytes,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,418
Bwd Init Win Bytes,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,438
Fwd Act Data Pkts,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,151
Fwd Seg Size Min,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,6
Active Mean,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,8753
Active Std,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,6228
Active Max,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,8689
Active Min,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,8638
Idle Mean,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,9946
Idle Std,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,7527
Idle Max,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,9904
Idle Min,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,9307
Label,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,object,0,0.0,1
Flow ID,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,object,0,0.0,8119
Src IP,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,object,0,0.0,189
Src Port,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,5974
Dst IP,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,object,0,0.0,716
Dst Port,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,1031
Protocol,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,3
Timestamp,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,object,0,0.0,13732
Flow Duration,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,29035
Total Fwd Packet,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,596
Total Bwd packets,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,559
Total Length of Fwd Packet,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,2611
Total Length of Bwd Packet,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,1330
Fwd Packet Length Max,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,641
Fwd Packet Length Min,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,117
Fwd Packet Length Mean,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,3546
Fwd Packet Length Std,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,3636
Bwd Packet Length Max,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,355
Bwd Packet Length Min,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,78
Bwd Packet Length Mean,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,2585
Bwd Packet Length Std,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,2649
Flow Bytes/s,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,2,6.666666666666667e-05,26060
Flow Packets/s,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,29180
Flow IAT Mean,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,29185
Flow IAT Std,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,26277
Flow IAT Max,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,28982
Flow IAT Min,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,18164
Fwd IAT Total,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,26562
Fwd IAT Mean,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,26664
Fwd IAT Std,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,25114
Fwd IAT Max,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,26365
Fwd IAT Min,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,18756
Bwd IAT Total,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,17840
Bwd IAT Mean,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,17853
Bwd IAT Std,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,14834
Bwd IAT Max,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,17729
Bwd IAT Min,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,10355
Fwd PSH Flags,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,2
Bwd PSH Flags,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,1
Fwd URG Flags,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,1
Bwd URG Flags,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,1
Fwd Header Length,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,828
Bwd Header Length,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,847
Fwd Packets/s,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,29174
Bwd Packets/s,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,21294
Packet Length Min,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,77
Packet Length Max,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,555
Packet Length Mean,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,5028
Packet Length Std,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,5068
Packet Length Variance,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,5377
FIN Flag Count,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,4
SYN Flag Count,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,9
RST Flag Count,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,3
PSH Flag Count,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,339
ACK Flag Count,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,662
URG Flag Count,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,1
CWR Flag Count,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,2
ECE Flag Count,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,4
Down/Up Ratio,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,17
Average Packet Size,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,4403
Fwd Segment Size Avg,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,3325
Bwd Segment Size Avg,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,2390
Fwd Bytes/Bulk Avg,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,1
Fwd Packet/Bulk Avg,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,1
Fwd Bulk Rate Avg,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,1
Bwd Bytes/Bulk Avg,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,2339
Bwd Packet/Bulk Avg,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,540
Bwd Bulk Rate Avg,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,6667
Subflow Fwd Packets,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,164
Subflow Fwd Bytes,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,1036
Subflow Bwd Packets,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,166
Subflow Bwd Bytes,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,707
FWD Init Win Bytes,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,616
Bwd Init Win Bytes,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,628
Fwd Act Data Pkts,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,507
Fwd Seg Size Min,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,int64,0,0.0,6
Active Mean,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,17030
Active Std,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,12243
Active Max,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,16819
Active Min,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,16713
Idle Mean,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,19681
Idle Std,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,15137
Idle Max,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,19566
Idle Min,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,float64,0,0.0,18343
Label,BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,object,0,0.0,1
Flow ID,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,object,0,0.0,8034
Src IP,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,object,0,0.0,162
Src Port,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,int64,0,0.0,5958
Dst IP,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,object,0,0.0,847
Dst Port,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,int64,0,0.0,992
Protocol,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,int64,0,0.0,3
Timestamp,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,object,0,0.0,14073
Flow Duration,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,int64,0,0.0,28908
Total Fwd Packet,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,int64,0,0.0,592
Total Bwd packets,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,int64,0,0.0,543
Total Length of Fwd Packet,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,2594
Total Length of Bwd Packet,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,1325
Fwd Packet Length Max,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,647
Fwd Packet Length Min,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,107
Fwd Packet Length Mean,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,3529
Fwd Packet Length Std,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,3630
Bwd Packet Length Max,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,362
Bwd Packet Length Min,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,81
Bwd Packet Length Mean,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,2572
Bwd Packet Length Std,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,2619
Flow Bytes/s,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,9,0.0003,25902
Flow Packets/s,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,29071
Flow IAT Mean,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,29100
Flow IAT Std,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,26309
Flow IAT Max,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,28862
Flow IAT Min,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,17983
Fwd IAT Total,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,26564
Fwd IAT Mean,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,26710
Fwd IAT Std,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,25072
Fwd IAT Max,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,26422
Fwd IAT Min,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,18694
Bwd IAT Total,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,17767
Bwd IAT Mean,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,17785
Bwd IAT Std,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,14801
Bwd IAT Max,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,17676
Bwd IAT Min,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,10303
Fwd PSH Flags,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,int64,0,0.0,2
Bwd PSH Flags,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,int64,0,0.0,1
Fwd URG Flags,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,int64,0,0.0,1
Bwd URG Flags,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,int64,0,0.0,1
Fwd Header Length,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,int64,0,0.0,822
Bwd Header Length,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,int64,0,0.0,827
Fwd Packets/s,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,29081
Bwd Packets/s,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,21207
Packet Length Min,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,84
Packet Length Max,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,553
Packet Length Mean,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,5039
Packet Length Std,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,5065
Packet Length Variance,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,5372
FIN Flag Count,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,int64,0,0.0,4
SYN Flag Count,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,int64,0,0.0,9
RST Flag Count,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,int64,0,0.0,3
PSH Flag Count,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,int64,0,0.0,319
ACK Flag Count,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,int64,0,0.0,624
URG Flag Count,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,int64,0,0.0,1
CWR Flag Count,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,int64,0,0.0,2
ECE Flag Count,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,int64,0,0.0,4
Down/Up Ratio,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,11
Average Packet Size,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,4400
Fwd Segment Size Avg,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,3306
Bwd Segment Size Avg,BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,float64,0,0.0,2393
